HOUSEID,PERSONID,R_AGE,R_SEX,EDUC,NUMADLT,VEHID,HHVEHCNT,VEHFUEL,VEHAGE,HOMEOWN,DRVRCNT,HHFAMINC,HHSIZE,URBANSIZE,URBRUR,WRKCOUNT,HOMETYPE,YOUNGCHILD
9000013002,2,42,1,7,2,2,2,1,3,1,2,11,4,4,1,1,1,0
9000013016,2,41,1,4,2,1,1,1,11,3,2,7,2,2,1,2,3,0
9000013039,1,38,1,6,2,1,1,1,7,3,2,7,4,4,1,1,3,0
9000013041,1,37,1,6,1,1,1,1,8,1,1,11,1,3,1,1,2,0
9000013042,1,59,1,8,2,1,2,1,5,1,2,11,3,4,1,2,1,1
9000013043,1,73,1,7,1,1,1,1,8,2,1,6,1,4,1,0,1,0
9000013044,2,30,1,6,2,2,2,1,5,3,2,7,2,4,1,2,3,0
9000013045,1,35,1,8,2,1,1,1,11,3,1,6,2,4,1,2,3,0
9000013046,1,67,1,6,2,2,2,1,3,2,2,10,2,4,1,0,1,0
9000013068,1,41,1,6,2,1,2,1,1,1,2,10,5,6,2,1,1,2
9000013081,1,62,2,3,2,1,3,1,1,2,2,6,2,6,2,1,1,0
9000013083,2,67,1,7,2,2,2,1,3,2,2,7,2,6,2,0,1,0
9000013086,1,75,1,3,2,2,2,1,4,2,2,6,2,3,1,0,1,0
9000013099,1,38,1,6,2,2,2,1,1,1,2,11,2,4,1,2,1,0
9000013104,2,51,2,5,3,3,3,1,7,1,3,6,3,3,1,0,3,0
9000013122,2,74,1,7,3,1,2,1,3,1,3,11,3,6,2,2,1,0
9000013145,1,57,2,5,1,1,1,1,6,2,1,6,1,4,1,1,1,0
9000013148,1,69,1,6,2,1,2,1,2,1,2,6,2,6,2,0,1,0
9000013158,1,86,1,3,2,1,2,1,6,2,2,5,2,6,2,0,1,0
9000013164,3,41,1,4,8,1,1,1,12,3,2,5,8,1,1,1,3,0
9000013165,1,35,1,5,1,3,3,1,4,3,1,5,1,4,1,1,3,0
9000013167,1,64,2,6,3,2,2,6,1,1,3,8,4,4,1,2,3,1
9000013183,2,40,1,5,2,2,2,6,1,1,2,7,6,2,1,2,1,0
9000013206,1,30,2,4,1,1,1,1,2,3,1,4,3,4,1,1,3,0
9000013216,1,59,1,6,1,1,1,1,8,1,1,9,1,4,1,1,1,0
9000013237,2,54,1,6,2,2,2,1,1,1,2,11,2,6,2,2,3,0
9000013246,1,55,2,8,1,1,1,1,5,1,1,11,1,6,1,1,1,0
9000013255,2,75,1,7,2,2,2,1,9,2,2,7,2,1,1,0,1,0
9000013256,1,77,2,7,1,1,1,1,8,1,1,9,1,6,2,0,1,0
9000013265,1,78,1,5,2,1,2,1,7,1,2,5,2,6,2,0,1,0
9000013267,1,66,1,6,1,1,1,1,9,3,1,4,1,6,2,0,3,0
9000013268,2,43,1,3,2,1,2,1,16,1,2,6,4,6,1,2,1,0
9000013269,2,70,2,6,2,2,2,1,7,2,2,6,2,3,1,0,1,0
9000013284,1,60,1,6,3,1,3,1,4,1,3,11,3,6,1,3,1,0
9000013285,1,61,2,6,1,2,2,1,17,1,1,3,1,6,2,0,1,0
9000013287,1,72,1,6,2,2,2,1,3,2,2,7,2,6,2,1,1,0
9000013293,2,67,1,6,2,1,2,1,7,1,2,6,2,6,2,1,1,0
9000013313,1,68,1,6,1,1,1,6,9,2,1,2,1,3,1,0,1,0
9000013356,1,73,1,7,2,2,2,1,5,1,2,7,2,4,1,0,1,0
9000013360,1,49,1,3,4,1,4,1,4,1,4,9,4,4,1,3,1,0
9000013362,1,39,1,4,2,1,2,1,5,1,2,9,4,5,1,2,1,1
9000013366,1,65,2,6,3,3,3,1,2,2,3,10,3,4,1,2,1,0
9000013373,1,74,2,7,1,2,2,1,13,1,1,5,1,3,1,1,4,0
9000013380,3,84,2,5,3,1,2,1,2,1,2,11,3,5,1,2,1,0
