HOUSEID,VEHID,HHVEHCNT,VEHFUEL,VEHAGE,NUMADLT,HOMEOWN,DRVRCNT,HHFAMINC,HHSIZE,URBANSIZE,URBRUR,WRKCOUNT
9000013002,2,2,1,3,2,1,2,11,4,4,1,1
9000013016,1,1,1,11,2,3,2,7,2,2,1,2
9000013039,1,1,1,7,2,3,2,7,4,4,1,1
9000013041,1,1,1,8,1,1,1,11,1,3,1,1
9000013042,1,2,1,5,2,1,2,11,3,4,1,2
9000013043,1,1,1,8,1,2,1,6,1,4,1,0
9000013044,2,2,1,5,2,3,2,7,2,4,1,2
9000013045,1,1,1,11,2,3,1,6,2,4,1,2
9000013046,2,2,1,3,2,2,2,10,2,4,1,0
9000013068,1,2,1,1,2,1,2,10,5,6,2,1
9000013081,1,3,1,1,2,2,2,6,2,6,2,1
9000013083,2,2,1,3,2,2,2,7,2,6,2,0
9000013086,2,2,1,4,2,2,2,6,2,3,1,0
9000013099,2,2,1,1,2,1,2,11,2,4,1,2
9000013104,3,3,1,7,3,1,3,6,3,3,1,0
9000013122,1,2,1,3,3,1,3,11,3,6,2,2
9000013145,1,1,1,6,1,2,1,6,1,4,1,1
9000013148,1,2,1,2,2,1,2,6,2,6,2,0
9000013158,1,2,1,6,2,2,2,5,2,6,2,0
9000013164,1,1,1,12,8,3,2,5,8,1,1,1
9000013165,3,3,1,4,1,3,1,5,1,4,1,1
9000013167,2,2,6,1,3,1,3,8,4,4,1,2
9000013183,2,2,6,1,2,1,2,7,6,2,1,2
9000013206,1,1,1,2,1,3,1,4,3,4,1,1
9000013216,1,1,1,8,1,1,1,9,1,4,1,1
9000013237,2,2,1,1,2,1,2,11,2,6,2,2
9000013246,1,1,1,5,1,1,1,11,1,6,1,1
9000013255,2,2,1,9,2,2,2,7,2,1,1,0
9000013256,1,1,1,8,1,1,1,9,1,6,2,0
9000013265,1,2,1,7,2,1,2,5,2,6,2,0
9000013267,1,1,1,9,1,3,1,4,1,6,2,0
9000013268,1,2,1,16,2,1,2,6,4,6,1,2
9000013269,2,2,1,7,2,2,2,6,2,3,1,0
9000013284,1,3,1,4,3,1,3,11,3,6,1,3
9000013285,2,2,1,17,1,1,1,3,1,6,2,0
9000013287,2,2,1,3,2,2,2,7,2,6,2,1
9000013293,1,2,1,7,2,1,2,6,2,6,2,1
9000013313,1,1,6,9,1,2,1,2,1,3,1,0
9000013356,2,2,1,5,2,1,2,7,2,4,1,0
9000013360,1,4,1,4,4,1,4,9,4,4,1,3
9000013362,1,2,1,5,2,1,2,9,4,5,1,2
9000013366,3,3,1,2,3,2,3,10,3,4,1,2
9000013373,2,2,1,13,1,1,1,5,1,3,1,1
9000013380,1,2,1,2,3,1,2,11,3,5,1,2
9000013382,1,1,1,4,1,3,1,7,1,4,1,1
9000013398,1,2,1,3,2,3,2,6,2,5,1,1
9000013411,1,1,1,5,1,3,1,7,1,4,1,1
9000013438,2,2,1,4,2,4,2,6,3,6,1,2
9000013509,2,2,1,12,2,1,3,3,3,6,2,1
9000013512,1,1,1,15,1,1,1,6,1,3,1,1
9000013514,1,1,1,5,1,1,1,4,1,6,2,0
9000013519,1,2,1,3,2,2,2,7,2,4,1,1
9000013525,1,2,1,2,2,1,2,7,2,4,1,0
9000013533,2,2,1,14,2,3,2,5,2,2,1,1
9000013537,1,2,6,9,3,2,2,6,3,4,1,2
9000013541,1,1,1,5,1,3,1,11,1,4,1,1
9000013572,1,1,1,6,1,3,1,10,3,1,1,1
9000013589,2,2,6,1,2,2,2,9,2,4,1,0
9000013594,1,3,1,7,2,1,2,10,2,2,1,2
9000013598,1,1,1,9,2,2,2,5,2,4,1,0
9000013613,1,1,1,16,1,1,1,6,1,4,1,1
9000013626,1,2,4,4,2,1,2,10,2,4,1,2
9000013657,1,2,1,7,2,3,2,6,2,3,1,2
9000013670,2,2,1,1,2,2,2,7,2,4,1,0
9000013703,1,1,1,3,2,2,2,8,2,3,1,1
9000013704,1,2,1,1,2,2,2,4,2,1,1,0
9000013707,1,1,1,7,1,3,1,6,1,4,1,1
9000013761,1,1,1,3,1,2,1,4,1,3,1,0
9000013772,1,2,1,17,2,2,2,3,2,6,2,0
9000013812,3,4,1,1,4,2,4,10,4,4,1,3
9000013821,6,6,1,14,3,1,3,7,3,4,1,1
9000013826,2,2,1,5,2,1,2,11,2,2,1,1
9000013828,2,2,1,22,3,2,2,6,3,4,1,3
9000013837,1,1,1,14,1,2,1,3,1,4,1,0
9000013847,1,1,1,10,1,1,1,8,2,1,1,1
9000013854,1,1,1,15,1,3,1,3,1,2,1,0
9000013855,1,1,1,4,1,3,1,10,1,4,1,1
9000013889,2,2,1,4,3,1,2,11,5,4,1,2
9000013896,1,3,6,1,2,1,2,11,4,6,2,2
9000013899,1,1,1,6,1,2,1,2,1,2,1,0
9000013901,1,1,1,1,3,2,1,6,3,4,1,0
9000013922,1,1,1,6,1,2,1,6,1,6,2,0
9000013936,2,2,2,4,1,2,1,6,1,6,2,1
9000013938,1,2,1,3,3,1,3,6,3,6,1,0
