HOUSEID,HOMETYPE,YOUNGCHILD
9000013002,01,0
9000013016,03,0
9000013026,03,0
9000013039,03,0
9000013041,02,0
9000013042,01,1
9000013043,01,0
9000013044,03,0
9000013045,03,0
9000013046,01,0
9000013048,03,0
9000013068,01,2
9000013081,01,0
9000013083,01,0
9000013086,01,0
9000013099,01,0
9000013104,03,0
9000013122,01,0
9000013145,01,0
9000013148,01,0
9000013158,01,0
9000013164,03,0
9000013165,03,0
9000013167,03,1
9000013183,01,0
9000013206,03,0
9000013216,01,0
9000013237,03,0
9000013246,01,0
9000013255,01,0
9000013256,01,0
9000013265,01,0
9000013267,03,0
9000013268,01,0
9000013269,01,0
9000013284,01,0
9000013285,01,0
9000013287,01,0
9000013293,01,0
9000013313,01,0
9000013315,01,0
9000013338,03,0
9000013354,03,0
9000013356,01,0
9000013358,03,0
9000013360,01,0
9000013362,01,1
9000013366,01,0
9000013373,04,0
9000013380,01,0
9000013382,03,0
9000013398,02,0
9000013411,03,0
9000013438,01,1
9000013440,03,0
9000013450,03,0
9000013509,01,0
9000013512,01,0
9000013514,02,0
9000013519,01,0
9000013522,01,0
9000013525,01,0
9000013533,03,0
9000013537,01,0
9000013541,03,0
9000013565,03,0
9000013572,03,0
9000013589,02,0
9000013594,01,0
9000013598,01,0
9000013613,01,0
9000013626,01,0
9000013657,02,0
9000013670,01,0
9000013703,01,0
9000013704,01,0
9000013707,03,0
9000013744,03,0
9000013761,01,0
9000013772,01,0
9000013774,03,0
9000013812,01,0
9000013821,01,0
9000013826,02,0
9000013828,03,0
9000013837,01,0
9000013847,01,0
9000013854,03,0
9000013855,03,0
9000013856,03,0
9000013868,03,0
9000013889,01,0
9000013896,01,1
9000013899,01,0
9000013901,03,0
9000013904,03,0
9000013906,03,0
9000013922,01,0
9000013936,02,0
9000013938,01,0
9000013949,04,0
9000013953,03,0
9000013970,01,0
9000013982,01,1
9000013983,01,0
9000013986,03,2
9000013987,01,0
9000014012,03,0
9000014013,01,2
9000014017,04,0
9000014027,04,0
9000014029,02,1
9000014037,01,0
9000014050,01,0
9000014066,02,1
9000014086,03,0
9000014090,03,0
9000014092,02,0
9000014119,01,0
9000014136,01,0
9000014137,01,0
9000014147,01,0
9000014155,01,0
9000014159,01,0
9000014160,03,0
9000014175,01,0
9000014177,01,0
9000014183,01,0
9000014188,01,0
9000014197,03,0
9000014198,01,0
9000014202,01,1
9000014213,04,0
9000014214,01,0
9000014218,05,0
9000014220,01,0
9000014228,02,0
9000014236,01,0
9000014259,01,0
9000014268,01,0
9000014271,01,0
9000014277,03,0
9000014280,01,0
9000014285,01,0
9000014287,01,0
9000014309,01,0
9000014324,02,0
9000014334,01,0
9000014346,01,0
9000014347,01,0
9000014348,01,0
9000014349,01,0
9000014356,01,0
9000014360,01,0
9000014364,01,1
9000014371,01,0
9000014388,01,1
9000014395,01,0
9000014417,01,0
9000014422,01,0
9000014425,01,0
9000014436,03,0
9000014449,01,1
9000014454,01,0
9000014457,03,0
9000014465,03,2
9000014484,02,0
9000014485,01,0
9000014489,03,0
9000014497,01,1
9000014505,01,0
9000014506,03,0
9000014516,03,0
9000014526,03,0
9000014555,01,0
9000014558,01,0
9000014580,01,0
9000014582,01,0
9000014585,01,0
9000014603,03,0
9000014608,01,0
9000014648,01,0
9000014666,01,0
9000014674,03,0
9000014686,01,1
9000014694,01,0
9000014698,03,0
9000014700,01,0
9000014708,01,0
9000014709,01,0
9000014723,04,0
9000014736,01,2
9000014737,01,0
9000014740,01,0
9000014758,01,0
9000014821,01,0
9000014823,01,0
9000014824,01,0
9000014828,01,0
9000014830,01,0
9000014836,01,0
9000014845,01,0
9000014860,01,0
9000014863,01,1
9000014868,01,1
9000014873,01,0
9000014879,01,0
9000014883,01,0
9000014892,01,0
9000014893,01,0
9000014901,01,0
9000014903,01,1
9000014913,01,1
9000014928,01,0
9000014961,01,0
9000014962,01,0
9000014965,01,0
9000014970,01,0
9000014990,01,0
9000014994,03,0
9000014995,01,0
9000014996,02,0
9000014998,01,0
9000015004,01,0
9000015013,01,0
9000015016,03,0
9000015025,02,0
9000015038,03,0
9000015039,02,0
9000015063,01,0
9000015070,01,0
9000015084,02,0
9000015086,01,1
9000015091,01,0
9000015100,03,0
9000015108,03,0
9000015124,01,0
9000015137,03,0
9000015142,01,0
9000015145,02,0
9000015146,02,0
9000015150,01,0
9000015165,01,0
9000015170,01,0
9000015172,01,0
9000015173,01,0
9000015184,01,1
9000015187,04,0
9000015194,03,0
9000015199,01,0
9000015203,01,0
9000015205,02,2
9000015210,03,0
9000015216,01,0
9000015224,02,0
9000015230,01,0
9000015233,01,0
9000015234,01,0
9000015238,01,0
9000015239,01,0
9000015244,01,0
9000015246,01,0
9000015262,01,0
9000015276,04,0
9000015282,01,0
9000015283,01,0
9000015289,01,0
9000015291,01,0
9000015293,01,0
9000015299,01,0
9000015310,01,0
9000015343,04,0
9000015349,01,0
9000015362,01,0
9000015368,01,0
9000015384,01,0
9000015385,01,0
9000015387,03,0
9000015405,01,0
9000015419,03,0
9000015425,03,0
9000015435,03,0
9000015444,01,0
9000015449,01,0
9000015451,01,0
9000015454,01,0
9000015463,01,0
9000015479,02,0
9000015486,01,0
9000015495,01,0
9000015514,03,0
9000015525,01,0
9000015535,04,1
9000015542,01,0
9000015550,01,0
9000015562,01,0
9000015566,01,0
9000015571,01,0
9000015572,01,0
9000015575,03,0
9000015584,01,0
9000015587,01,0
9000015607,03,0
9000015623,01,0
9000015626,01,1
9000015627,04,0
9000015638,01,0
9000015657,02,0
9000015676,01,0
9000015677,03,0
9000015678,01,0
9000015687,01,0
9000015699,01,0
9000015701,01,0
9000015706,02,0
9000015719,04,1
9000015722,01,0
9000015747,01,0
9000015757,03,0
9000015758,01,0
9000015759,03,0
9000015761,01,0
9000015769,01,0
9000015772,01,0
9000015790,01,0
9000015799,01,0
9000015807,02,0
9000015836,01,0
9000015840,01,0
9000015841,01,0
9000015858,01,0
9000015867,01,0
9000015872,01,0
9000015878,01,0
9000015883,01,0
9000015892,01,1
9000015899,01,0
9000015901,01,0
9000015905,01,0
9000015939,01,0
9000015963,04,0
9000015977,01,0
9000015981,01,0
9000015987,01,0
9000015990,01,0
9000015993,02,0
9000015997,01,0
9000015999,01,0
9000016004,01,0
9000016010,02,0
9000016027,02,0
9000016036,02,0
9000016054,02,0
9000016059,01,0
9000016060,02,0
9000016063,01,0
9000016079,03,1
9000016080,01,0
9000016081,01,0
9000016088,01,0
9000016092,01,0
9000016094,02,2
9000016097,02,0
9000016099,01,0
9000016107,04,0
9000016119,03,0
9000016122,01,0
9000016134,01,0
9000016135,01,0
9000016145,01,0
9000016146,01,0
9000016156,01,0
9000016174,01,0
9000016217,01,0
9000016232,01,0
9000016235,03,0
9000016269,02,0
9000016293,03,0
9000016305,03,0
9000016313,03,0
9000016323,01,0
9000016350,01,0
9000016372,04,0
9000016398,01,0
9000016416,01,0
9000016437,01,0
9000016441,01,0
9000016480,04,1
9000016492,02,0
9000016494,05,0
9000016495,01,0
9000016506,03,0
9000016543,01,0
9000016556,01,1
9000016587,02,0
9000016596,01,0
9000016610,03,0
9000016621,01,0
9000016626,01,1
9000016628,04,0
9000016637,01,0
9000016671,01,0
9000016673,01,0
9000016674,01,0
9000016704,01,0
9000016718,04,0
9000016720,01,0
9000016723,01,0
9000016735,01,0
9000016743,03,0
9000016744,03,0
9000016748,01,0
9000016757,03,0
9000016776,01,0
9000016786,04,0
9000016800,01,0
9000016805,01,0
9000016814,01,0
9000016835,01,0
9000016857,01,0
9000016859,01,0
9000016877,01,0
9000016883,01,0
9000016901,01,1
9000016918,01,0
9000016920,01,0
9000016929,04,0
9000016930,01,0
9000016931,01,0
9000016942,01,0
9000016948,01,0
9000016966,01,0
9000016968,01,0
9000017006,02,0
9000017013,01,0
9000017045,03,1
9000017053,01,0
9000017081,04,0
9000017090,01,0
9000017112,03,0
9000017128,02,0
9000017137,01,0
9000017148,01,0
9000017170,01,0
9000017182,01,0
9000017207,01,0
9000017212,01,0
9000017218,01,0
9000017219,01,0
9000017221,01,0
9000017229,01,0
9000017236,03,0
9000017242,01,0
9000017257,01,0
9000017260,03,1
9000017268,01,0
9000017277,01,2
9000017280,01,0
9000017287,03,0
9000017291,01,0
9000017292,01,0
9000017293,01,0
9000017295,01,0
9000017309,03,0
9000017319,03,0
9000017324,01,0
9000017336,01,0
9000017342,01,1
9000017398,01,0
9000017400,01,0
9000017410,01,2
9000017413,01,0
9000017419,01,0
9000017428,03,0
9000017430,03,0
9000017446,01,0
9000017450,04,0
9000017451,01,0
9000017460,01,0
9000017477,01,0
9000017478,01,0
9000017479,01,0
9000017491,01,0
9000017493,01,0
9000017507,01,0
9000017510,03,0
9000017512,01,0
9000017517,05,0
9000017523,01,0
9000017531,01,0
9000017551,01,0
9000017562,01,0
9000017571,01,0
9000017588,01,0
9000017607,01,0
9000017610,01,0
9000017615,01,0
9000017616,01,2
9000017617,03,0
9000017633,03,0
9000017644,01,0
9000017660,03,0
9000017667,01,0
9000017686,01,0
9000017697,01,0
9000017704,01,0
9000017725,04,0
9000017736,01,2
9000017743,01,0
9000017768,01,0
9000017779,01,0
9000017787,03,0
9000017793,01,0
9000017795,01,0
9000017801,01,0
9000017816,01,0
9000017849,01,0
9000017852,03,0
9000017855,01,0
9000017859,03,0
9000017877,01,0
9000017882,01,0
9000017884,01,0
9000017895,01,0
9000017907,01,0
9000017912,02,0
9000017916,01,1
9000017932,01,0
9000017939,01,0
9000017946,01,0
9000017947,03,0
9000017994,01,0
9000017996,01,0
9000018003,01,0
9000018014,01,0
9000018015,03,0
9000018017,01,0
9000018019,01,0
9000018025,01,1
9000018039,01,0
9000018048,01,0
9000018056,04,0
9000018078,01,0
9000018083,01,0
9000018091,02,0
9000018093,02,2
9000018104,01,0
9000018116,02,0
9000018117,01,0
9000018140,02,0
9000018153,03,0
9000018159,05,0
9000018168,01,0
9000018195,01,0
9000018213,01,0
9000018216,01,0
9000018221,01,0
9000018227,01,0
9000018233,01,0
9000018247,01,0
9000018259,01,0
9000018263,01,0
9000018272,04,0
9000018273,01,0
9000018277,03,0
9000018292,01,0
9000018320,01,0
9000018343,02,0
9000018345,01,0
9000018365,01,0
9000018388,03,0
9000018396,01,0
9000018399,01,0
9000018403,01,0
9000018415,02,0
9000018422,01,0
9000018450,01,0
9000018451,03,0
9000018465,03,0
9000018473,01,0
9000018474,01,0
9000018488,01,0
9000018491,01,0
9000018499,02,0
9000018501,03,0
9000018541,01,0
9000018557,03,0
9000018560,02,0
9000018566,03,0
9000018571,01,0
9000018583,03,0
9000018584,03,0
9000018587,01,0
9000018592,01,0
9000018618,01,0
9000018625,01,0
9000018632,01,0
9000018635,01,0
9000018644,01,0
9000018645,02,0
9000018646,02,0
9000018648,01,0
9000018660,01,0
9000018672,01,0
9000018676,01,0
9000018684,01,0
9000018695,03,0
9000018700,02,0
9000018712,03,0
9000018787,01,0
9000018790,01,0
9000018801,02,0
9000018817,01,0
9000018827,02,0
9000018834,01,0
9000018843,01,0
9000018844,04,0
9000018846,01,0
9000018871,01,0
9000018881,02,0
9000018888,01,0
9000018895,01,0
9000018932,01,0
9000018940,01,0
9000018944,03,0
9000018953,02,0
9000018959,01,0
9000018960,01,2
9000018961,01,3
9000018962,03,0
9000018977,02,0
9000019009,03,0
9000019020,02,0
9000019029,03,0
9000019046,03,0
9000019052,01,0
9000019058,02,0
9000019059,01,0
9000019065,03,0
9000019068,03,0
9000019074,01,0
9000019078,04,0
9000019086,01,0
9000019096,03,0
9000019099,01,1
9000019105,01,0
9000019106,01,0
9000019110,01,0
9000019129,02,1
9000019132,01,0
9000019143,04,0
9000019158,01,1
9000019163,01,0
9000019165,01,0
9000019171,01,0
9000019184,01,1
9000019199,03,2
9000019202,02,0
9000019205,01,0
9000019208,01,0
9000019221,01,0
9000019235,01,0
9000019239,01,1
9000045389,01,0
9000045400,03,0
9000045417,01,0
9000045418,01,0
9000045421,03,0
9000045432,01,0
9000045443,01,0
9000045447,01,0
9000045452,01,2
9000045455,01,0
9000045460,01,0
9000045468,03,0
9000045478,01,0
9000045480,01,0
9000045505,01,1
9000045527,01,0
9000045546,02,0
9000045552,01,0
9000045553,01,0
9000045556,01,0
9000045557,03,0
9000045558,02,0
9000045567,01,0
9000045576,01,0
9000045579,01,0
9000045589,03,0
9000045598,01,0
9000045626,02,0
9000045640,01,0
9000045647,01,0
9000045665,01,0
9000045670,01,0
9000045687,01,0
9000045698,01,0
9000045699,01,0
9000045702,02,0
9000045708,01,0
9000045717,01,0
9000045723,03,0
9000045738,01,0
9000045740,01,0
9000045743,01,0
9000045758,01,0
9000045778,01,2
9000045790,03,0
9000045793,01,0
