HOUSEID,PERSONID,R_AGE,R_SEX,EDUC,NUMADLT
9000013002,01,39,02,07,2
9000013002,02,42,01,07,2
9000013002,03,8,-7,-1,2
9000013002,04,5,-7,-1,2
9000013016,01,32,02,06,2
9000013016,02,41,01,04,2
9000013026,01,44,01,08,1
9000013039,01,38,01,06,2
9000013039,02,37,02,06,2
9000013039,03,12,01,-1,2
9000013039,04,9,01,-1,2
9000013041,01,37,01,06,1
9000013042,01,59,01,08,2
9000013042,02,38,02,08,2
9000013043,01,73,01,07,1
9000013044,01,29,02,06,2
9000013044,02,30,01,06,2
9000013045,01,35,01,08,2
9000013045,02,34,02,08,2
9000013046,01,67,01,06,2
9000013046,02,66,02,06,2
9000013048,01,40,02,02,1
9000013068,01,41,01,06,2
9000013068,02,40,02,06,2
9000013068,03,6,01,-1,2
9000013081,01,62,02,03,2
9000013081,02,60,01,03,2
9000013083,01,66,02,07,2
9000013083,02,67,01,07,2
9000013086,01,75,01,03,2
9000013086,02,73,02,03,2
9000013099,01,38,01,06,2
9000013099,02,32,02,07,2
9000013104,01,50,01,04,3
9000013104,02,51,02,05,3
9000013104,03,22,02,03,3
9000013122,01,69,02,06,3
9000013122,02,74,01,07,3
9000013122,03,33,02,07,3
9000013145,01,57,02,05,1
9000013148,01,69,01,06,2
9000013148,02,62,02,05,2
9000013158,01,86,01,03,2
9000013158,02,81,02,03,2
9000013164,01,40,01,04,8
9000013164,02,33,01,04,8
9000013164,03,41,01,04,8
9000013164,04,41,01,04,8
9000013164,05,38,01,03,8
9000013164,06,31,01,02,8
9000013164,07,30,01,04,8
9000013164,08,33,01,03,8
9000013165,01,35,01,05,1
9000013167,01,64,02,06,3
9000013167,02,34,01,04,3
9000013167,03,33,02,05,3
9000013183,01,32,02,05,2
9000013183,02,40,01,05,2
9000013183,03,12,01,-1,2
9000013183,04,11,01,-1,2
9000013183,05,9,01,-1,2
9000013183,06,7,01,-1,2
9000013206,01,30,02,04,1
9000013206,02,6,01,-1,1
9000013206,03,12,01,-1,1
9000013216,01,59,01,06,1
9000013237,01,53,01,07,2
9000013237,02,54,01,06,2
9000013246,01,55,02,08,1
9000013255,01,74,02,05,2
9000013255,02,75,01,07,2
9000013256,01,77,02,07,1
9000013265,01,78,01,05,2
9000013265,02,75,02,05,2
9000013267,01,66,01,06,1
9000013268,01,40,02,04,2
9000013268,02,43,01,03,2
9000013268,03,7,02,-1,2
9000013268,04,6,02,-1,2
9000013269,01,68,01,07,2
9000013269,02,70,02,06,2
9000013284,01,60,01,06,3
9000013284,02,58,02,06,3
9000013284,03,22,02,04,3
9000013285,01,61,02,06,1
9000013287,01,72,01,06,2
9000013287,02,65,02,07,2
9000013293,01,60,02,04,2
9000013293,02,67,01,06,2
9000013313,01,68,01,06,1
9000013315,01,27,01,06,1
9000013338,01,30,01,07,1
9000013354,01,35,01,06,2
9000013354,02,30,02,06,2
9000013356,01,73,01,07,2
9000013356,02,70,02,03,2
9000013358,01,84,02,03,1
9000013360,01,49,01,03,4
9000013360,02,46,02,05,4
9000013360,03,21,02,04,4
9000013360,04,18,01,02,4
9000013362,01,39,01,04,2
9000013362,02,32,02,04,2
9000013362,03,10,02,-1,2
9000013366,01,65,02,06,3
9000013366,02,65,01,06,3
9000013366,03,26,01,06,3
9000013373,01,74,02,07,1
9000013380,01,60,02,07,3
9000013380,02,57,02,08,3
9000013380,03,84,02,05,3
9000013382,01,35,02,07,1
9000013398,01,60,02,03,2
9000013398,02,63,01,03,2
9000013411,01,32,02,07,1
9000013438,01,29,02,08,2
9000013438,02,30,01,08,2
9000013440,01,64,01,06,2
9000013440,02,50,02,06,2
9000013440,03,14,01,02,2
9000013450,01,53,02,07,1
9000013450,02,17,01,02,1
9000013509,01,88,01,03,2
9000013509,02,74,02,02,2
9000013509,03,17,02,02,2
9000013512,01,64,01,04,1
9000013514,01,75,02,05,1
9000013519,01,68,02,04,2
9000013519,02,67,01,03,2
9000013522,01,62,02,05,1
9000013525,01,74,01,06,2
9000013525,02,70,02,03,2
9000013533,01,32,02,05,2
9000013533,02,42,01,03,2
9000013537,01,72,01,08,3
9000013537,02,66,02,06,3
9000013537,03,64,02,04,3
9000013541,01,38,02,08,1
9000013565,01,37,02,08,1
9000013572,01,32,01,06,1
9000013572,02,8,02,-1,1
9000013572,03,6,02,-1,1
9000013589,01,75,01,08,2
9000013589,02,72,02,07,2
9000013594,01,56,02,05,2
9000013594,02,58,01,03,2
9000013598,01,67,02,03,2
9000013598,02,83,01,03,2
9000013613,01,27,02,06,1
9000013626,01,59,01,07,2
9000013626,02,58,02,07,2
9000013657,01,31,02,07,2
9000013657,02,34,01,06,2
9000013670,01,71,01,06,2
9000013670,02,72,02,04,2
9000013703,01,86,02,03,2
9000013703,02,56,02,07,2
9000013704,01,66,02,04,2
9000013704,02,67,01,03,2
9000013707,01,33,02,06,1
9000013744,01,50,01,01,2
9000013744,02,46,02,02,2
9000013761,01,81,01,06,1
9000013772,01,74,01,04,2
9000013772,02,73,02,03,2
9000013774,01,70,02,02,1
9000013812,01,65,01,04,4
9000013812,02,57,02,04,4
9000013812,03,26,01,06,4
9000013812,04,23,02,07,4
9000013821,01,51,02,05,3
9000013821,02,54,01,03,3
9000013821,03,75,02,06,3
9000013826,01,59,01,07,2
9000013826,02,68,02,04,2
9000013828,01,58,02,03,3
9000013828,02,55,01,03,3
9000013828,03,28,02,06,3
9000013837,01,65,02,06,1
9000013847,01,39,01,07,1
9000013847,02,9,01,-1,1
9000013854,01,69,01,04,1
9000013855,01,54,01,08,1
9000013856,01,56,01,04,1
9000013868,01,37,01,04,1
9000013889,01,47,01,07,3
9000013889,02,48,02,07,3
9000013889,03,19,02,02,3
9000013889,04,15,01,02,3
9000013889,05,12,01,-1,3
9000013896,01,51,01,08,2
9000013896,02,51,02,08,2
9000013896,03,16,01,02,2
9000013899,01,65,02,08,1
9000013901,01,28,02,06,3
9000013901,02,62,01,04,3
9000013901,03,62,02,04,3
9000013904,01,25,02,07,1
9000013906,01,62,02,06,1
9000013922,01,74,02,07,1
9000013936,01,59,01,03,1
9000013938,01,67,01,04,3
9000013938,02,67,02,03,3
9000013938,03,41,02,03,3
9000013949,01,54,02,03,2
9000013949,02,79,01,03,2
9000013953,01,29,02,04,1
9000013953,02,7,01,-1,1
9000013970,01,58,02,05,1
