HOUSEID,VEHID,HHVEHCNT,VEHFUEL,VEHAGE,NUMADLT,HOMEOWN,DRVRCNT,HHFAMINC,HHSIZE,URBANSIZE,URBRUR,WRKCOUNT
9000013002,01,2,01,7,2,01,2,11,4,04,01,1
9000013002,02,2,01,3,2,01,2,11,4,04,01,1
9000013016,01,1,01,11,2,03,2,07,2,02,01,2
9000013039,01,1,01,7,2,03,2,07,4,04,01,1
9000013041,01,1,01,8,1,01,1,11,1,03,01,1
9000013042,01,2,01,5,2,01,2,11,3,04,01,2
9000013042,02,2,01,22,2,01,2,11,3,04,01,2
9000013043,01,1,01,8,1,02,1,06,1,04,01,0
9000013044,01,2,01,13,2,03,2,07,2,04,01,2
9000013044,02,2,01,5,2,03,2,07,2,04,01,2
9000013045,01,1,01,11,2,03,1,06,2,04,01,2
9000013046,01,2,01,5,2,02,2,10,2,04,01,0
9000013046,02,2,01,3,2,02,2,10,2,04,01,0
9000013068,01,2,01,1,2,01,2,10,5,06,02,1
9000013068,02,2,01,2,2,01,2,10,5,06,02,1
9000013081,01,3,01,1,2,02,2,06,2,06,02,1
9000013081,02,3,01,4,2,02,2,06,2,06,02,1
9000013081,03,3,01,14,2,02,2,06,2,06,02,1
9000013083,01,2,01,6,2,02,2,07,2,06,02,0
9000013083,02,2,01,3,2,02,2,07,2,06,02,0
9000013086,01,2,01,8,2,02,2,06,2,03,01,0
9000013086,02,2,01,4,2,02,2,06,2,03,01,0
9000013099,01,2,05,2,2,01,2,11,2,04,01,2
9000013099,02,2,01,1,2,01,2,11,2,04,01,2
9000013104,01,3,01,16,3,01,3,06,3,03,01,0
9000013104,02,3,01,14,3,01,3,06,3,03,01,0
9000013104,03,3,01,7,3,01,3,06,3,03,01,0
9000013122,01,2,01,3,3,01,3,11,3,06,02,2
9000013122,02,2,01,3,3,01,3,11,3,06,02,2
9000013145,01,1,01,6,1,02,1,06,1,04,01,1
9000013148,01,2,01,2,2,01,2,06,2,06,02,0
9000013148,02,2,01,2,2,01,2,06,2,06,02,0
9000013158,01,2,01,6,2,02,2,05,2,06,02,0
9000013158,02,2,01,25,2,02,2,05,2,06,02,0
9000013164,01,1,01,12,8,03,2,05,8,01,01,1
9000013165,01,3,01,10,1,03,1,05,1,04,01,1
9000013165,02,3,01,19,1,03,1,05,1,04,01,1
9000013165,03,3,01,4,1,03,1,05,1,04,01,1
9000013167,01,2,01,2,3,01,3,08,4,04,01,2
9000013167,02,2,06,1,3,01,3,08,4,04,01,2
9000013183,01,2,01,9,2,01,2,07,6,02,01,2
9000013183,02,2,06,1,2,01,2,07,6,02,01,2
9000013206,01,1,01,2,1,03,1,04,3,04,01,1
9000013216,01,1,01,8,1,01,1,09,1,04,01,1
9000013237,01,2,01,10,2,01,2,11,2,06,02,2
9000013237,02,2,01,1,2,01,2,11,2,06,02,2
9000013246,01,1,01,5,1,01,1,11,1,06,01,1
9000013255,01,2,01,17,2,02,2,07,2,01,01,0
9000013255,02,2,01,9,2,02,2,07,2,01,01,0
9000013256,01,1,01,8,1,01,1,09,1,06,02,0
9000013265,01,2,01,7,2,01,2,05,2,06,02,0
9000013265,02,2,01,10,2,01,2,05,2,06,02,0
9000013267,01,1,01,9,1,03,1,04,1,06,02,0
9000013268,01,2,01,16,2,01,2,06,4,06,01,2
9000013268,02,2,01,16,2,01,2,06,4,06,01,2
9000013269,01,2,01,8,2,02,2,06,2,03,01,0
9000013269,02,2,01,7,2,02,2,06,2,03,01,0
9000013284,01,3,01,4,3,01,3,11,3,06,01,3
9000013284,02,3,01,6,3,01,3,11,3,06,01,3
9000013284,03,3,01,13,3,01,3,11,3,06,01,3
9000013285,01,2,01,18,1,01,1,03,1,06,02,0
9000013285,02,2,01,17,1,01,1,03,1,06,02,0
9000013287,01,2,01,9,2,02,2,07,2,06,02,1
9000013287,02,2,01,3,2,02,2,07,2,06,02,1
9000013293,01,2,01,7,2,01,2,06,2,06,02,1
9000013293,02,2,01,8,2,01,2,06,2,06,02,1
9000013313,01,1,06,9,1,02,1,02,1,03,01,0
9000013356,01,2,01,9,2,01,2,07,2,04,01,0
9000013356,02,2,01,5,2,01,2,07,2,04,01,0
9000013360,01,4,01,4,4,01,4,09,4,04,01,3
9000013360,02,4,01,5,4,01,4,09,4,04,01,3
9000013360,03,4,01,14,4,01,4,09,4,04,01,3
9000013360,04,4,01,19,4,01,4,09,4,04,01,3
9000013362,01,2,01,5,2,01,2,09,4,05,01,2
9000013362,02,2,01,5,2,01,2,09,4,05,01,2
9000013366,01,3,01,3,3,02,3,10,3,04,01,2
9000013366,02,3,01,6,3,02,3,10,3,04,01,2
9000013366,03,3,01,2,3,02,3,10,3,04,01,2
9000013373,01,2,01,26,1,01,1,05,1,03,01,1
9000013373,02,2,01,13,1,01,1,05,1,03,01,1
9000013380,01,2,01,2,3,01,2,11,3,05,01,2
9000013380,02,2,01,3,3,01,2,11,3,05,01,2
9000013382,01,1,01,4,1,03,1,07,1,04,01,1
9000013398,01,2,01,3,2,03,2,06,2,05,01,1
9000013398,02,2,01,18,2,03,2,06,2,05,01,1
9000013411,01,1,01,5,1,03,1,07,1,04,01,1
9000013438,01,2,01,7,2,04,2,06,3,06,01,2
9000013438,02,2,01,4,2,04,2,06,3,06,01,2
9000013509,01,2,01,22,2,01,3,03,3,06,02,1
9000013509,02,2,01,12,2,01,3,03,3,06,02,1
9000013512,01,1,01,15,1,01,1,06,1,03,01,1
9000013514,01,1,01,5,1,01,1,04,1,06,02,0
9000013519,01,2,01,3,2,02,2,07,2,04,01,1
9000013519,02,2,01,9,2,02,2,07,2,04,01,1
9000013525,01,2,01,2,2,01,2,07,2,04,01,0
9000013525,02,2,01,7,2,01,2,07,2,04,01,0
9000013533,01,2,01,22,2,03,2,05,2,02,01,1
9000013533,02,2,01,14,2,03,2,05,2,02,01,1
9000013537,01,2,06,9,3,02,2,06,3,04,01,2
9000013537,02,2,01,18,3,02,2,06,3,04,01,2
9000013541,01,1,01,5,1,03,1,11,1,04,01,1
9000013572,01,1,01,6,1,03,1,10,3,01,01,1
9000013589,01,2,06,13,2,02,2,09,2,04,01,0
9000013589,02,2,06,1,2,02,2,09,2,04,01,0
9000013594,01,3,01,7,2,01,2,10,2,02,01,2
9000013594,02,3,02,7,2,01,2,10,2,02,01,2
9000013594,03,3,01,14,2,01,2,10,2,02,01,2
9000013598,01,1,01,9,2,02,2,05,2,04,01,0
9000013613,01,1,01,16,1,01,1,06,1,04,01,1
9000013626,01,2,04,4,2,01,2,10,2,04,01,2
9000013626,02,2,06,9,2,01,2,10,2,04,01,2
9000013657,01,2,01,7,2,03,2,06,2,03,01,2
9000013657,02,2,01,8,2,03,2,06,2,03,01,2
9000013670,01,2,01,20,2,02,2,07,2,04,01,0
9000013670,02,2,01,1,2,02,2,07,2,04,01,0
9000013703,01,1,01,3,2,02,2,08,2,03,01,1
9000013704,01,2,01,1,2,02,2,04,2,01,01,0
9000013704,02,2,01,5,2,02,2,04,2,01,01,0
9000013707,01,1,01,7,1,03,1,06,1,04,01,1
9000013761,01,1,01,3,1,02,1,04,1,03,01,0
9000013772,01,2,01,17,2,02,2,03,2,06,02,0
9000013772,02,2,01,29,2,02,2,03,2,06,02,0
9000013812,01,4,01,2,4,02,4,10,4,04,01,3
9000013812,02,4,01,3,4,02,4,10,4,04,01,3
9000013812,03,4,01,1,4,02,4,10,4,04,01,3
9000013812,04,4,01,5,4,02,4,10,4,04,01,3
9000013821,01,6,01,40,3,01,3,07,3,04,01,1
9000013821,02,6,01,40,3,01,3,07,3,04,01,1
9000013821,03,6,01,40,3,01,3,07,3,04,01,1
9000013821,04,6,01,24,3,01,3,07,3,04,01,1
9000013821,05,6,01,21,3,01,3,07,3,04,01,1
9000013821,06,6,01,14,3,01,3,07,3,04,01,1
9000013826,01,2,01,7,2,01,2,11,2,02,01,1
9000013826,02,2,01,5,2,01,2,11,2,02,01,1
9000013828,01,2,01,28,3,02,2,06,3,04,01,3
9000013828,02,2,01,22,3,02,2,06,3,04,01,3
9000013837,01,1,01,14,1,02,1,03,1,04,01,0
9000013847,01,1,01,10,1,01,1,08,2,01,01,1
9000013854,01,1,01,15,1,03,1,03,1,02,01,0
9000013855,01,1,01,4,1,03,1,10,1,04,01,1
9000013889,01,2,01,13,3,01,2,11,5,04,01,2
9000013889,02,2,01,4,3,01,2,11,5,04,01,2
9000013896,01,3,06,1,2,01,2,11,4,06,02,2
9000013896,02,3,01,8,2,01,2,11,4,06,02,2
9000013896,03,3,01,15,2,01,2,11,4,06,02,2
9000013899,01,1,01,6,1,02,1,02,1,02,01,0
9000013901,01,1,01,1,3,02,1,06,3,04,01,0
9000013922,01,1,01,6,1,02,1,06,1,06,02,0
9000013936,01,2,01,6,1,02,1,06,1,06,02,1
9000013936,02,2,02,4,1,02,1,06,1,06,02,1
9000013938,01,2,01,3,3,01,3,06,3,06,01,0
9000013938,02,2,01,17,3,01,3,06,3,06,01,0
9000013949,01,1,01,5,2,01,1,06,2,06,02,1
9000013953,01,1,01,12,1,03,1,04,2,06,01,1
9000013970,01,1,01,3,1,01,1,05,1,06,01,1
9000013982,01,2,01,17,1,01,1,07,2,06,01,1
9000013982,02,2,01,8,1,01,1,07,2,06,01,1
9000013983,01,2,01,10,3,01,3,04,4,06,02,1
9000013983,02,2,01,13,3,01,3,04,4,06,02,1
9000013986,01,2,01,3,2,03,2,03,5,06,01,2
9000013986,02,2,01,12,2,03,2,03,5,06,01,2
9000013987,01,2,02,1,2,02,2,06,2,06,02,0
9000013987,02,2,01,4,2,02,2,06,2,06,02,0
9000014012,01,1,01,23,2,03,2,01,4,06,02,0
9000014013,01,3,01,1,2,01,2,07,4,06,02,1
9000014013,02,3,01,15,2,01,2,07,4,06,02,1
9000014013,03,3,01,19,2,01,2,07,4,06,02,1
9000014017,01,1,01,15,2,03,2,03,3,06,02,2
9000014027,01,2,01,7,1,02,1,03,1,06,02,0
